transport;station_depart;time_depart;station_arrive;time_arrive;day
429; ќћћ”ЌјЋ№Ќјя ”Ћ;17:42;ѕ–»Ћ” »(—еницкий с/с);17:54;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;17:51;ѕ–»Ћ” »(—еницкий с/с);18:03;пн вт ср чт пт
211; ќћћ”ЌјЋ№Ќјя ”Ћ;17:56;ѕ–»Ћ” »(—еницкий с/с);18:08;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;18:01;ѕ–»Ћ” »(—еницкий с/с);18:13;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;18:06;ѕ–»Ћ” »(—еницкий с/с);18:18;пн вт ср чт пт
339ј; ќћћ”ЌјЋ№Ќјя ”Ћ;18:20;ѕ–»Ћ” »(—еницкий с/с);18:32;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;18:20;ѕ–»Ћ” »(—еницкий с/с);18:32;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;18:30;ѕ–»Ћ” »(—еницкий с/с);18:42;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;18:33;ѕ–»Ћ” »(—еницкий с/с);18:43;сб вс
211; ќћћ”ЌјЋ№Ќјя ”Ћ;18:34;ѕ–»Ћ” »(—еницкий с/с);18:46;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;18:48;ѕ–»Ћ” »(—еницкий с/с);19:00;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;18:53;ѕ–»Ћ” »(—еницкий с/с);19:03;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;18:58;ѕ–»Ћ” »(—еницкий с/с);19:10;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;19:07;ѕ–»Ћ” »(—еницкий с/с);19:19;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;19:10;ѕ–»Ћ” »(—еницкий с/с);19:22;сб вс
339ј; ќћћ”ЌјЋ№Ќјя ”Ћ;19:15;ѕ–»Ћ” »(—еницкий с/с);19:27;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;19:25;ѕ–»Ћ” »(—еницкий с/с);19:35;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;19:26;ѕ–»Ћ” »(—еницкий с/с);19:38;пн вт ср чт пт
211; ќћћ”ЌјЋ№Ќјя ”Ћ;19:35;ѕ–»Ћ” »(—еницкий с/с);19:47;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;19:42;ѕ–»Ћ” »(—еницкий с/с);19:52;сб вс
211; ќћћ”ЌјЋ№Ќјя ”Ћ;19:58;ѕ–»Ћ” »(—еницкий с/с);20:08;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;20:02;ѕ–»Ћ” »(—еницкий с/с);20:14;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;20:18;ѕ–»Ћ” »(—еницкий с/с);20:30;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;20:19;ѕ–»Ћ” »(—еницкий с/с);20:29;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;20:32;ѕ–»Ћ” »(—еницкий с/с);20:42;пн вт ср чт пт
279; ќћћ”ЌјЋ№Ќјя ”Ћ;20:39;ѕ–»Ћ” »(—еницкий с/с);20:49;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;20:50;ѕ–»Ћ” »(—еницкий с/с);21:00;пн вт ср чт пт
